event_time_utc,event_type,symbol,source,direction,entry_price,exit_price,sl,tp1,tp2,quantity,notional_usdt,pnl_usdt,balance_after_usdt,exit_reason
2026-09-20T11:02:29.612978+00:00,open,CFXUSDT,ICT/SMC Scalp Pro,long,0.048910499999999996,,0.04831184919759227,0.049808476203611576,0.05070645240722316,204.45,10.0,,,
2026-09-20T11:03:01.194096+00:00,open,EGLDUSDT,ICT/SMC Scalp Pro,long,3.635,,3.5847927619435755,3.710310857084636,3.785621714169273,2.751,10.0,,,
2026-09-20T11:04:45.666056+00:00,open,MINAUSDT,ICT/SMC Scalp Pro,long,0.104515,,0.1024963905999389,0.10754291410009165,0.11057082820018331,95.6,10.0,,,
2026-09-20T11:06:05.019003+00:00,open,SAGAUSDT,ICT/SMC Scalp Pro,short,0.029150000000000002,,0.03030511601313294,0.027417325980300604,0.0256846519606012,343.0,10.0,,,
2026-09-20T11:06:11.616819+00:00,open,SEIUSDT,ICT/SMC Scalp Pro,long,0.04725,,0.04673507508570125,0.04802238737144812,0.048794774742896244,211.6,10.0,,,
2026-09-20T11:06:33.827433+00:00,open,SUNUSDT,Supertrend+ADX,short,0.01706015,,0.017161375116213008,0.016908312325680488,0.016756474651360976,1758.4,30.0,,,
2026-09-20T11:06:36.081179+00:00,open,SUNUSDT,ICT/SMC Scalp Pro,short,0.01706015,,0.017109241178040746,0.01698651323293888,0.016912876465877764,586.1,10.0,,,
2026-09-20T11:16:53.106922+00:00,open,CELOUSDT,ICT/SMC Scalp Pro,short,0.08725,,0.08859069798570787,0.08523895302143816,0.08322790604287632,114.61,10.0,,,
2026-09-20T11:18:20.782686+00:00,open,INITUSDT,ICT/SMC Scalp Pro,long,0.07139999999999999,,0.07070930347277993,0.0724360447908301,0.0734720895816602,140.056,10.0,,,
2026-09-20T11:19:32.575627+00:00,open,PAXGUSDT,Supertrend+ADX,long,4363.950000000001,,4360.862836430309,4368.5807453545385,4373.211490709077,0.006874,30.0,,,
2026-09-20T11:19:36.117335+00:00,open,PAXGUSDT,ICT/SMC Scalp Pro,long,4363.950000000001,,4362.551898213012,4366.047152680486,4368.144305360969,0.002291,10.0,,,
2026-09-20T11:20:20.752068+00:00,open,RUNEUSDT,ICT/SMC Scalp Pro,short,0.53835,,0.5420973233764504,0.5327290149353244,0.5271080298706489,18.5,10.0,,,
2026-09-20T11:20:25.891495+00:00,open,SUSDT,ICT/SMC Scalp Pro,short,0.03605,,0.03738778101396328,0.034043328479055085,0.03203665695811018,277.3,10.0,,,
2026-09-20T11:20:46.311533+00:00,open,STGUSDT,ICT/SMC Scalp Pro,long,0.1278,,0.123451880890102,0.134322178664847,0.140844357329694,78.2472,10.0,,,
